GraphName,Threads,Phases,TotalIterations,Clusters,Modularity,ClusteringTIme,CoarseningTime,TotalTime,Threshold
soc-LiveJournal1,48,7,179,4756,0.758829,169.383,7.26396,176.647,1e-06
wiki-Talk,48,6,42,2683,0.558613,4.93376,0.746733,5.6805,1e-06
web-Stanford,48,9,49,733,0.936514,0.908966,0.0944799,1.00345,1e-06
uk2002,24,6,40,5150,0.989425,38.4125,1.64002,40.0525,1e-06
333SP,24,11,399,439,0.985079,11.2792,1.33446,12.6136,1e-06
AS365,24,10,69,174,0.981586,6.22723,0.80738,7.03461,1e-06
eu-2005,24,6,46,146,0.938091,3.91139,0.100801,4.01219,1e-06
in-2004,24,7,45,759,0.979114,2.72531,0.0888815,2.8142,1e-06
M6,24,9,77,167,0.980524,6.21022,0.824433,7.03465,1e-06
NLR,24,10,83,172,0.981599,7.33357,1.09547,8.42904,1e-06
road_usa,24,11,66,1405,0.997919,16.7357,7.21199,23.9477,1e-06
af_shell10,24,11,633,54,0.955039,8.77637,0.147379,8.92375,1e-06
cnr-2000,24,7,55,174,0.912416,0.988057,0.019517,1.00757,1e-06
G_n_pin_pout,24,8,54,65,0.286252,0.765739,0.139279,0.905018,1e-06
NACA0015,24,9,68,111,0.972657,1.63206,0.161748,1.79381,1e-06
road_central,24,11,66,1068,0.997203,11.6835,5.62739,17.3109,1e-06
smallworld,24,7,44,210,0.792893,0.289694,0.0383973,0.328092,1e-06
Amazon0505,24,7,69,155,0.888354,3.32614,0.215753,3.54189,1e-06
as-skitter,24,7,67,981,0.840681,15.4497,0.305199,15.7549,1e-06
ca-HepPh,24,5,39,317,0.661849,0.106885,0.0211781,0.128063,1e-06
ca-HepTh,24,6,40,469,0.760544,0.039078,0.00259789,0.0416759,1e-06
cit-Patents,24,7,96,3676,0.802196,43.6098,1.2346,44.8444,1e-06
com-lj,24,7,155,1868,0.751514,135.038,2.57326,137.612,1e-06
com-youtube,24,8,66,5230,0.719946,6.7254,0.33855,7.06395,1e-06
roadNet-CA,24,10,60,2973,0.991753,1.67019,0.535723,2.20591,1e-06
web-Google,24,6,54,3161,0.979416,4.06511,0.233209,4.29832,1e-06
com-orkut,24,5,125,37,0.671465,185.793,17.1192,202.913,1e-06
soc-LiveJournal1,24,7,179,4756,0.758829,244.698,7.18373,251.882,1e-06
wiki-Talk,24,6,42,2683,0.558613,6.77591,0.724857,7.50077,1e-06
web-Stanford,24,9,49,733,0.936514,1.05801,0.0759691,1.13398,1e-06
uk2002,48,6,40,5150,0.989425,26.8142,2.24928,29.0635,1e-06
333SP,48,11,399,439,0.985079,8.24963,2.13197,10.3816,1e-06
AS365,48,10,69,174,0.981586,4.22797,1.35213,5.58011,1e-06
eu-2005,48,6,46,146,0.938091,3.26528,0.264426,3.5297,1e-06
in-2004,48,7,45,759,0.979114,2.21191,0.0966506,2.30856,1e-06
M6,48,9,77,167,0.980524,4.36183,1.35465,5.71649,1e-06
NLR,48,10,83,172,0.981599,5.21427,1.99076,7.20504,1e-06
road_usa,48,11,66,1405,0.997919,11.8125,10.1721,21.9846,1e-06
af_shell10,48,11,633,54,0.955039,6.16961,0.297843,6.46745,1e-06
cnr-2000,48,7,55,174,0.912416,0.879297,0.0281459,0.907443,1e-06
G_n_pin_pout,48,8,54,65,0.286252,0.485932,0.132896,0.618827,1e-06
NACA0015,48,9,68,111,0.972657,1.11393,0.484958,1.59889,1e-06
road_central,48,11,66,1068,0.997203,7.60731,6.42435,14.0317,1e-06
smallworld,48,7,44,210,0.792893,0.178178,0.039336,0.217514,1e-06
Amazon0505,48,7,69,155,0.888354,3.31964,0.139608,3.45925,1e-06
as-skitter,48,7,67,981,0.840681,12.3612,0.418155,12.7793,1e-06
ca-HepPh,48,5,39,317,0.661849,0.0716992,0.0343644,0.106064,1e-06
ca-HepTh,48,6,40,469,0.760544,0.0267552,0.00240148,0.0291567,1e-06
cit-Patents,48,7,96,3676,0.802196,30.5662,1.73246,32.2986,1e-06
com-lj,48,7,155,1868,0.751514,93.9289,3.39253,97.3215,1e-06
com-youtube,48,8,66,5230,0.719946,5.77548,1.19243,6.96791,1e-06
roadNet-CA,48,10,60,2973,0.991753,1.15128,0.958895,2.11017,1e-06
web-Google,48,6,54,3161,0.979416,3.27991,0.0896977,3.36961,1e-06
com-orkut,48,5,125,37,0.671465,119.941,28.8353,148.776,1e-06
soc-LiveJournal1,48,7,179,4756,0.758829,171.913,8.25635,180.169,1e-06
wiki-Talk,48,6,42,2683,0.558613,4.99902,0.762337,5.76136,1e-06
web-Stanford,48,9,49,733,0.936514,0.96167,0.0907512,1.05242,1e-06
